make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment,car_age,mileage_per_year,engine_volume_liters,is_newer_car,is_high_mileage,brand_model,log_mileage,log_engine_volume,age_squared,mileage_age_interaction
mazda,2,5500,2008,with mileage,162000.0,petrol,1500.0,burgundy,mechanics,front-wheel drive,b,11,14727.272727272728,1.5,0,0,mazda_2,11.995357787034976,7.313886831633462,121,1782000.0
mazda,2,5350,2009,with mileage,120000.0,petrol,1300.0,black,mechanics,front-wheel drive,b,10,12000.0,1.3,0,0,mazda_2,11.695255355062795,7.170888478512505,100,1200000.0
mazda,2,7000,2009,with mileage,61000.0,petrol,1500.0,silver,auto,front-wheel drive,b,10,6100.0,1.5,0,0,mazda_2,11.0186455364637,7.313886831633462,100,610000.0
mazda,2,3300,2003,with mileage,265000.0,diesel,1400.0,white,mechanics,front-wheel drive,b,16,16562.5,1.4,0,0,mazda_2,12.487488878546145,7.244941546337007,256,4240000.0
mazda,2,5200,2008,with mileage,97183.0,diesel,1400.0,gray,mechanics,front-wheel drive,b,11,8834.818181818182,1.4,0,0,mazda_2,11.484361367845475,7.244941546337007,121,1069013.0
mazda,2,3400,2005,with mileage,150000.0,petrol,1300.0,blue,mechanics,front-wheel drive,b,14,10714.285714285714,1.3,0,0,mazda_2,11.918397239722838,7.170888478512505,196,2100000.0
mazda,2,5000,2008,with mileage,112000.0,petrol,1300.0,gray,mechanics,front-wheel drive,b,11,10181.818181818182,1.3,0,0,mazda_2,11.626263078808801,7.170888478512505,121,1232000.0
mazda,2,7300,2009,with mileage,95000.0,petrol,1500.0,other,auto,front-wheel drive,b,10,9500.0,1.5,0,0,mazda_2,11.461642696843066,7.313886831633462,100,950000.0
mazda,2,6400,2010,with mileage,93804.0,petrol,1500.0,other,mechanics,front-wheel drive,b,9,10422.666666666666,1.5,0,0,mazda_2,11.448973438477712,7.313886831633462,81,844236.0
mazda,2,6132,2008,with mileage,196511.0,petrol,1500.0,other,auto,front-wheel drive,b,11,17864.636363636364,1.5,0,0,mazda_2,12.188478777129125,7.313886831633462,121,2161621.0
